Region,Instance Type,Savings Plan Rate,Savings over On-Demand,On-Demand Rate,Database Edition,License Model,Service Code,Usage Type,Operation,Unit
af-south-1,dms.c7i.12xlarge,8.232,20%,10.29,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.12xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.12xlarge,4.12,20%,5.15,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.12xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.16xlarge,11.344,20%,14.18,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.16xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.16xlarge,5.672,20%,7.09,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.16xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.24xlarge,16.456,20%,20.57,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.24xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.24xlarge,8.232,20%,10.29,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.24xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.2xlarge,1.424,20%,1.78,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.2xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.2xlarge,0.712,20%,0.89,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.2xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.48xlarge,16.456,20%,20.57,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.48xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.48xlarge,32.912,20%,41.14,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.48xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.4xlarge,1.424,20%,1.78,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.4xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.4xlarge,2.84,20%,3.55,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.4xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.8xlarge,2.84,20%,3.55,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.8xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.8xlarge,5.672,20%,7.09,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.8xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.large,0.36,20%,0.45,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.large,CreateDMSInstance,Hrs
af-south-1,dms.c7i.large,0.184,20%,0.23,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.large,CreateDMSInstance,Hrs
af-south-1,dms.c7i.xlarge,0.36,20%,0.45,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.c7i.xlarge,CreateDMSInstance,Hrs
af-south-1,dms.c7i.xlarge,0.712,20%,0.89,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-Multi-AZUsg:dms.c7i.xlarge,CreateDMSInstance,Hrs
af-south-1,dms.r7i.12xlarge,6.064,20%,7.58,AWS DMS,N/A,AWSDatabaseMigrationSvc,AFS1-InstanceUsg:dms.r7i.12xlarge,CreateDMSInstance,Hrs
